mode,method,ratio,direction,clip_spec,raw_tpr_at_1_fpr,clipped_tpr_at_1_fpr,raw_tpr_at_5_fpr,clipped_tpr_at_5_fpr,n_test_human,n_test_llm
tail,entropy_gap,0.2,-1,"{""nll_upper"": 8.480424880981445}",0.92,0.91,0.92,0.97,100,100
tail,entropy_gap,0.3,-1,"{""nll_upper"": 8.480424880981445}",0.82,0.82,0.83,0.9,100,100
tail,entropy_gap,0.4,-1,"{""nll_upper"": 8.480424880981445}",0.57,0.58,0.66,0.75,100,100
tail,entropy_gap,0.5,-1,"{""nll_upper"": 8.480424880981445}",0.32,0.35,0.41,0.52,100,100
tail,binoculars,0.0,-1,"{""nll_upper"": 6.831467008590704}",0.99,0.99,0.99,0.99,100,100
tail,binoculars,0.05,-1,"{""nll_upper"": 6.831467008590704}",0.97,0.97,0.97,0.97,100,100
tail,binoculars,0.1,-1,"{""nll_upper"": 6.831467008590704}",0.97,0.97,0.97,0.97,100,100
tail,binoculars,0.2,-1,"{""nll_upper"": 6.831467008590704}",0.97,0.97,0.97,0.97,100,100
tail,binoculars,0.3,-1,"{""nll_upper"": 6.831467008590704}",0.93,0.96,0.93,0.97,100,100
tail,binoculars,0.4,-1,"{""nll_upper"": 6.831467008590704}",0.87,0.86,0.89,0.91,100,100
tail,binoculars,0.5,-1,"{""nll_upper"": 6.831467008590704}",0.63,0.71,0.71,0.81,100,100
